tick,timestamp,weather_pattern,tariff,actual_inflow,expected_inflow,actual_cost,forecast_optimizer_cost,cost_delta_optimizer_minus_actual,actual_ending_volume,forecast_optimizer_ending_volume,actual_pumped,forecast_optimizer_pumped,actual_warnings,forecast_optimizer_warnings
403,2026-06-09T09:00:00+00:00,wet_multi_day,282.66,6.39,6.6704,1130.64,2261.28,1130.64,48.44,228.44,4.00,8.00,,
404,2026-06-09T09:30:00+00:00,wet_multi_day,282.66,6.22,6.7082,2261.28,2261.28,0.00,46.66,226.66,8.00,8.00,,
405,2026-06-09T10:00:00+00:00,wet_multi_day,282.66,6.41,7.0310,2261.28,2261.28,0.00,45.07,225.07,8.00,8.00,,
406,2026-06-09T10:30:00+00:00,wet_multi_day,282.66,4.36,4.6567,1130.64,1130.64,0.00,45.43,225.43,4.00,4.00,,
407,2026-06-09T11:00:00+00:00,wet_multi_day,282.66,4.00,4.2763,0.00,1130.64,1130.64,49.43,225.43,0.00,4.00,,
408,2026-06-09T11:30:00+00:00,wet_multi_day,282.66,4.28,4.3778,0.00,2261.28,2261.28,53.71,221.71,0.00,8.00,,
409,2026-06-09T12:00:00+00:00,wet_multi_day,283.90,3.94,4.2760,0.00,0.00,0.00,57.65,225.65,0.00,0.00,,
410,2026-06-09T12:30:00+00:00,wet_multi_day,283.90,4.37,4.4314,3406.80,0.00,-3406.80,50.02,230.02,12.00,0.00,,
411,2026-06-09T13:00:00+00:00,wet_multi_day,283.90,3.98,4.3187,2271.20,0.00,-2271.20,46.00,234.00,8.00,0.00,,
412,2026-06-09T13:30:00+00:00,wet_multi_day,283.90,3.79,4.0775,1135.60,1135.60,0.00,45.79,233.79,4.00,4.00,,
413,2026-06-09T14:00:00+00:00,wet_multi_day,283.90,4.43,4.7670,1135.60,2271.20,1135.60,46.22,230.22,4.00,8.00,,
414,2026-06-09T14:30:00+00:00,wet_multi_day,283.90,4.38,4.4777,0.00,1135.60,1135.60,50.60,230.60,0.00,4.00,,
415,2026-06-09T15:00:00+00:00,wet_multi_day,283.90,3.82,3.8825,2271.20,2271.20,0.00,46.42,226.42,8.00,8.00,,
416,2026-06-09T15:30:00+00:00,wet_multi_day,283.90,4.02,4.2960,1135.60,1135.60,0.00,46.44,226.44,4.00,4.00,,
417,2026-06-09T16:00:00+00:00,wet_multi_day,302.47,6.75,7.4225,1209.88,1209.88,0.00,49.19,229.19,4.00,4.00,,
418,2026-06-09T16:30:00+00:00,wet_multi_day,302.47,6.54,7.0660,2419.76,2419.76,0.00,47.73,227.73,8.00,8.00,,
419,2026-06-09T17:00:00+00:00,wet_multi_day,302.47,6.77,7.0659,2419.76,1209.88,-1209.88,46.50,230.50,8.00,4.00,,
420,2026-06-09T17:30:00+00:00,wet_multi_day,302.47,6.82,6.8964,2419.76,2419.76,0.00,45.32,229.32,8.00,8.00,,
421,2026-06-09T18:00:00+00:00,wet_multi_day,302.47,6.71,7.0049,0.00,2419.76,2419.76,52.03,228.03,0.00,8.00,,
422,2026-06-09T18:30:00+00:00,wet_multi_day,302.47,6.58,6.6026,0.00,1209.88,1209.88,58.61,230.61,0.00,4.00,,
423,2026-06-09T19:00:00+00:00,wet_multi_day,302.47,6.57,6.9456,6049.40,2419.76,-3629.64,45.18,229.18,20.00,8.00,,
424,2026-06-09T19:30:00+00:00,wet_multi_day,302.47,6.53,6.8581,1209.88,2419.76,1209.88,47.71,227.71,4.00,8.00,,
425,2026-06-09T20:00:00+00:00,wet_multi_day,277.06,6.95,7.1864,1108.24,2216.48,1108.24,50.66,226.66,4.00,8.00,,
426,2026-06-09T20:30:00+00:00,wet_multi_day,277.06,7.08,7.0942,3324.72,1108.24,-2216.48,45.74,229.74,12.00,4.00,,
427,2026-06-09T21:00:00+00:00,wet_multi_day,277.06,6.67,7.2707,0.00,2216.48,2216.48,52.41,228.41,0.00,8.00,,
428,2026-06-09T21:30:00+00:00,wet_multi_day,277.06,2.98,3.1461,0.00,2216.48,2216.48,55.39,223.39,0.00,8.00,,
429,2026-06-09T22:00:00+00:00,wet_multi_day,277.06,3.21,3.4393,1108.24,0.00,-1108.24,54.60,226.60,4.00,0.00,,
430,2026-06-09T22:30:00+00:00,wet_multi_day,277.06,3.40,3.4100,3324.72,1108.24,-2216.48,46.00,226.00,12.00,4.00,,
431,2026-06-09T23:00:00+00:00,wet_multi_day,277.06,3.33,3.3617,0.00,1108.24,1108.24,49.33,225.33,0.00,4.00,,
432,2026-06-09T23:30:00+00:00,wet_multi_day,277.06,3.25,3.3489,1108.24,0.00,-1108.24,48.58,228.58,4.00,0.00,,
433,2026-06-10T00:00:00+00:00,wet_multi_day,228.42,3.01,3.2594,913.68,0.00,-913.68,47.59,231.59,4.00,0.00,,
434,2026-06-10T00:30:00+00:00,wet_multi_day,228.42,2.99,3.0099,913.68,0.00,-913.68,46.58,234.58,4.00,0.00,,
435,2026-06-10T01:00:00+00:00,wet_multi_day,228.42,3.11,3.1214,0.00,913.68,913.68,49.69,233.69,0.00,4.00,,
436,2026-06-10T01:30:00+00:00,wet_multi_day,228.42,2.82,2.8275,913.68,913.68,0.00,48.51,232.51,4.00,4.00,,
437,2026-06-10T02:00:00+00:00,wet_multi_day,228.42,2.87,3.0502,913.68,913.68,0.00,47.38,231.38,4.00,4.00,,
438,2026-06-10T02:30:00+00:00,wet_multi_day,228.42,2.74,2.8184,0.00,0.00,0.00,50.12,234.12,0.00,0.00,,
439,2026-06-10T03:00:00+00:00,wet_multi_day,228.42,2.83,3.0523,913.68,913.68,0.00,48.95,232.95,4.00,4.00,,
440,2026-06-10T03:30:00+00:00,wet_multi_day,228.42,3.08,3.2427,0.00,1827.36,1827.36,52.03,228.03,0.00,8.00,,
441,2026-06-10T04:00:00+00:00,wet_multi_day,257.37,2.97,3.2486,2058.96,0.00,-2058.96,47.00,231.00,8.00,0.00,,
442,2026-06-10T04:30:00+00:00,wet_multi_day,257.37,3.09,3.1218,1029.48,1029.48,0.00,46.09,230.09,4.00,4.00,,
443,2026-06-10T05:00:00+00:00,wet_multi_day,257.37,3.16,3.2023,1029.48,1029.48,0.00,45.25,229.25,4.00,4.00,,
444,2026-06-10T05:30:00+00:00,wet_multi_day,257.37,6.09,6.3993,1029.48,1029.48,0.00,47.34,231.34,4.00,4.00,,
445,2026-06-10T06:00:00+00:00,wet_multi_day,257.37,6.08,6.5286,2058.96,2058.96,0.00,45.42,229.42,8.00,8.00,,
446,2026-06-10T06:30:00+00:00,wet_multi_day,257.37,6.39,6.5732,0.00,1029.48,1029.48,51.81,231.81,0.00,4.00,,
447,2026-06-10T07:00:00+00:00,wet_multi_day,257.37,6.54,6.8395,1029.48,2058.96,1029.48,54.35,230.35,4.00,8.00,,
448,2026-06-10T07:30:00+00:00,wet_multi_day,257.37,6.53,6.5392,0.00,2058.96,2058.96,60.88,228.88,0.00,8.00,,
449,2026-06-10T08:00:00+00:00,wet_multi_day,282.66,6.44,6.9476,5653.20,1130.64,-4522.56,47.32,231.32,20.00,4.00,,
450,2026-06-10T08:30:00+00:00,wet_multi_day,282.66,6.43,6.7989,2261.28,2261.28,0.00,45.75,229.75,8.00,8.00,,
451,2026-06-10T09:00:00+00:00,wet_multi_day,282.66,6.65,6.9416,1130.64,2261.28,1130.64,48.40,228.40,4.00,8.00,,
452,2026-06-10T09:30:00+00:00,wet_multi_day,282.66,6.32,6.3239,0.00,1130.64,1130.64,54.72,230.72,0.00,4.00,,
453,2026-06-10T10:00:00+00:00,wet_multi_day,282.66,6.47,6.7237,3391.92,2261.28,-1130.64,49.19,229.19,12.00,8.00,,
454,2026-06-10T10:30:00+00:00,wet_multi_day,282.66,4.11,4.3370,1130.64,1130.64,0.00,49.30,229.30,4.00,4.00,,
455,2026-06-10T11:00:00+00:00,wet_multi_day,282.66,4.16,4.3780,0.00,1130.64,1130.64,53.46,229.46,0.00,4.00,,
456,2026-06-10T11:30:00+00:00,wet_multi_day,282.66,3.85,3.9935,3391.92,1130.64,-2261.28,45.31,229.31,12.00,4.00,,
457,2026-06-10T12:00:00+00:00,wet_multi_day,283.90,3.86,4.2082,1135.60,0.00,-1135.60,45.17,233.17,4.00,0.00,,
458,2026-06-10T12:30:00+00:00,wet_multi_day,283.90,4.38,4.7752,1135.60,1135.60,0.00,45.55,233.55,4.00,4.00,,
459,2026-06-10T13:00:00+00:00,wet_multi_day,283.90,4.33,4.7028,0.00,1135.60,1135.60,49.88,233.88,0.00,4.00,,
460,2026-06-10T13:30:00+00:00,wet_multi_day,283.90,4.07,4.4280,0.00,2271.20,2271.20,53.95,229.95,0.00,8.00,,
461,2026-06-10T14:00:00+00:00,wet_multi_day,283.90,4.25,4.6549,3406.80,2271.20,-1135.60,46.20,226.20,12.00,8.00,,
462,2026-06-10T14:30:00+00:00,wet_multi_day,283.90,3.88,4.0054,1135.60,0.00,-1135.60,46.08,230.08,4.00,0.00,,
463,2026-06-10T15:00:00+00:00,wet_multi_day,283.90,3.81,4.1387,0.00,1135.60,1135.60,49.89,229.89,0.00,4.00,,
464,2026-06-10T15:30:00+00:00,wet_multi_day,283.90,3.82,4.0069,2271.20,2271.20,0.00,45.71,225.71,8.00,8.00,,
465,2026-06-10T16:00:00+00:00,wet_multi_day,302.47,7.12,7.3043,1209.88,1209.88,0.00,48.83,228.83,4.00,4.00,,
466,2026-06-10T16:30:00+00:00,wet_multi_day,302.47,7.00,7.4495,1209.88,2419.76,1209.88,51.83,227.83,4.00,8.00,,
467,2026-06-10T17:00:00+00:00,wet_multi_day,302.47,7.01,7.6508,1209.88,1209.88,0.00,54.84,230.84,4.00,4.00,,
468,2026-06-10T17:30:00+00:00,wet_multi_day,302.47,6.98,7.5857,4839.52,2419.76,-2419.76,45.82,229.82,16.00,8.00,,
469,2026-06-10T18:00:00+00:00,wet_multi_day,302.47,6.74,6.8962,1209.88,2419.76,1209.88,48.56,228.56,4.00,8.00,,
470,2026-06-10T18:30:00+00:00,wet_multi_day,302.47,7.13,7.2773,2419.76,2419.76,0.00,47.69,227.69,8.00,8.00,,
471,2026-06-10T19:00:00+00:00,wet_multi_day,302.47,6.61,7.0112,1209.88,2419.76,1209.88,50.30,226.30,4.00,8.00,,
472,2026-06-10T19:30:00+00:00,wet_multi_day,302.47,7.07,7.6046,2419.76,2419.76,0.00,49.37,225.37,8.00,8.00,,
473,2026-06-10T20:00:00+00:00,wet_multi_day,277.06,7.01,7.2749,2216.48,1108.24,-1108.24,48.38,228.38,8.00,4.00,,
474,2026-06-10T20:30:00+00:00,wet_multi_day,277.06,7.00,7.4367,2216.48,2216.48,0.00,47.38,227.38,8.00,8.00,,
475,2026-06-10T21:00:00+00:00,wet_multi_day,277.06,7.04,7.4693,1108.24,2216.48,1108.24,50.42,226.42,4.00,8.00,,
476,2026-06-10T21:30:00+00:00,wet_multi_day,277.06,3.36,3.5351,2216.48,1108.24,-1108.24,45.78,225.78,8.00,4.00,,
477,2026-06-10T22:00:00+00:00,wet_multi_day,277.06,3.18,3.2843,0.00,1108.24,1108.24,48.96,224.96,0.00,4.00,,
478,2026-06-10T22:30:00+00:00,wet_multi_day,277.06,2.83,2.9980,1108.24,1108.24,0.00,47.79,223.79,4.00,4.00,,
479,2026-06-10T23:00:00+00:00,wet_multi_day,277.06,3.20,3.2196,1108.24,0.00,-1108.24,46.99,226.99,4.00,0.00,,
480,2026-06-10T23:30:00+00:00,wet_multi_day,277.06,3.24,3.5002,1108.24,1108.24,0.00,46.23,226.23,4.00,4.00,,
481,2026-06-11T00:00:00+00:00,dry_spell,228.42,0.11,0.1192,0.00,0.00,0.00,46.34,226.34,0.00,0.00,,
482,2026-06-11T00:30:00+00:00,dry_spell,228.42,0.19,0.1934,0.00,0.00,0.00,46.53,226.53,0.00,0.00,,
483,2026-06-11T01:00:00+00:00,dry_spell,228.42,0.08,0.0816,0.00,0.00,0.00,46.61,226.61,0.00,0.00,,
484,2026-06-11T01:30:00+00:00,dry_spell,228.42,0.05,0.0534,0.00,0.00,0.00,46.66,226.66,0.00,0.00,,
485,2026-06-11T02:00:00+00:00,dry_spell,228.42,0.05,0.0533,0.00,0.00,0.00,46.71,226.71,0.00,0.00,,
486,2026-06-11T02:30:00+00:00,dry_spell,228.42,0.27,0.2733,0.00,0.00,0.00,46.98,226.98,0.00,0.00,,
487,2026-06-11T03:00:00+00:00,dry_spell,228.42,0.05,0.0524,0.00,0.00,0.00,47.03,227.03,0.00,0.00,,
488,2026-06-11T03:30:00+00:00,dry_spell,228.42,0.05,0.0522,0.00,2741.04,2741.04,47.08,215.08,0.00,12.00,,
489,2026-06-11T04:00:00+00:00,dry_spell,257.37,0.36,0.3877,0.00,0.00,0.00,47.44,215.44,0.00,0.00,,
490,2026-06-11T04:30:00+00:00,dry_spell,257.37,0.30,0.3238,0.00,0.00,0.00,47.74,215.74,0.00,0.00,,
491,2026-06-11T05:00:00+00:00,dry_spell,257.37,0.32,0.3480,0.00,0.00,0.00,48.06,216.06,0.00,0.00,,
492,2026-06-11T05:30:00+00:00,dry_spell,257.37,1.01,1.0634,0.00,0.00,0.00,49.07,217.07,0.00,0.00,,
493,2026-06-11T06:00:00+00:00,dry_spell,257.37,1.11,1.1115,0.00,0.00,0.00,50.18,218.18,0.00,0.00,,
494,2026-06-11T06:30:00+00:00,dry_spell,257.37,0.89,0.9309,0.00,0.00,0.00,51.07,219.07,0.00,0.00,,
495,2026-06-11T07:00:00+00:00,dry_spell,257.37,1.15,1.2100,1029.48,0.00,-1029.48,48.22,220.22,4.00,0.00,,
496,2026-06-11T07:30:00+00:00,dry_spell,257.37,0.94,1.0248,1029.48,0.00,-1029.48,45.16,221.16,4.00,0.00,,
497,2026-06-11T08:00:00+00:00,dry_spell,282.66,1.05,1.1470,0.00,0.00,0.00,46.21,222.21,0.00,0.00,,
498,2026-06-11T08:30:00+00:00,dry_spell,282.66,0.87,0.9229,0.00,0.00,0.00,47.08,223.08,0.00,0.00,,
499,2026-06-11T09:00:00+00:00,dry_spell,282.66,0.82,0.8663,0.00,0.00,0.00,47.90,223.90,0.00,0.00,,
500,2026-06-11T09:30:00+00:00,dry_spell,282.66,0.85,0.9075,0.00,0.00,0.00,48.75,224.75,0.00,0.00,,
501,2026-06-11T10:00:00+00:00,dry_spell,282.66,0.87,0.9034,1130.64,0.00,-1130.64,45.62,225.62,4.00,0.00,,
502,2026-06-11T10:30:00+00:00,dry_spell,282.66,0.32,0.3442,0.00,0.00,0.00,45.94,225.94,0.00,0.00,,
503,2026-06-11T11:00:00+00:00,dry_spell,282.66,0.33,0.3467,0.00,0.00,0.00,46.27,226.27,0.00,0.00,,
504,2026-06-11T11:30:00+00:00,dry_spell,282.66,0.38,0.3877,0.00,0.00,0.00,46.65,226.65,0.00,0.00,,
505,2026-06-11T12:00:00+00:00,dry_spell,283.90,0.54,0.5631,0.00,0.00,0.00,47.19,227.19,0.00,0.00,,
506,2026-06-11T12:30:00+00:00,dry_spell,283.90,0.45,0.4550,0.00,0.00,0.00,47.64,227.64,0.00,0.00,,
507,2026-06-11T13:00:00+00:00,dry_spell,283.90,0.54,0.5612,0.00,0.00,0.00,48.18,228.18,0.00,0.00,,
508,2026-06-11T13:30:00+00:00,dry_spell,283.90,0.54,0.5686,0.00,0.00,0.00,48.72,228.72,0.00,0.00,,
509,2026-06-11T14:00:00+00:00,dry_spell,283.90,0.46,0.4680,0.00,0.00,0.00,49.18,229.18,0.00,0.00,,
510,2026-06-11T14:30:00+00:00,dry_spell,283.90,0.51,0.5428,1135.60,0.00,-1135.60,45.69,229.69,4.00,0.00,,
511,2026-06-11T15:00:00+00:00,dry_spell,283.90,0.39,0.4241,0.00,0.00,0.00,46.08,230.08,0.00,0.00,,
512,2026-06-11T15:30:00+00:00,dry_spell,283.90,0.52,0.5342,0.00,1135.60,1135.60,46.60,226.60,0.00,4.00,,
513,2026-06-11T16:00:00+00:00,dry_spell,302.47,1.02,1.0920,0.00,0.00,0.00,47.62,227.62,0.00,0.00,,
514,2026-06-11T16:30:00+00:00,dry_spell,302.47,1.03,1.0835,0.00,0.00,0.00,48.65,228.65,0.00,0.00,,
515,2026-06-11T17:00:00+00:00,dry_spell,302.47,1.01,1.0216,1209.88,0.00,-1209.88,45.66,229.66,4.00,0.00,,
516,2026-06-11T17:30:00+00:00,dry_spell,302.47,1.24,1.2575,0.00,0.00,0.00,46.90,230.90,0.00,0.00,,
517,2026-06-11T18:00:00+00:00,dry_spell,302.47,1.22,1.3415,0.00,0.00,0.00,48.12,232.12,0.00,0.00,,
518,2026-06-11T18:30:00+00:00,dry_spell,302.47,0.96,1.0068,1209.88,0.00,-1209.88,45.08,233.08,4.00,0.00,,
519,2026-06-11T19:00:00+00:00,dry_spell,302.47,0.98,1.0491,0.00,0.00,0.00,46.06,234.06,0.00,0.00,,
520,2026-06-11T19:30:00+00:00,dry_spell,302.47,1.17,1.2519,0.00,1209.88,1209.88,47.23,231.23,0.00,4.00,,
521,2026-06-11T20:00:00+00:00,dry_spell,277.06,1.04,1.1132,0.00,0.00,0.00,48.27,232.27,0.00,0.00,,
522,2026-06-11T20:30:00+00:00,dry_spell,277.06,0.97,1.0067,1108.24,0.00,-1108.24,45.24,233.24,4.00,0.00,,
523,2026-06-11T21:00:00+00:00,dry_spell,277.06,1.00,1.0433,0.00,1108.24,1108.24,46.24,230.24,0.00,4.00,,
524,2026-06-11T21:30:00+00:00,dry_spell,277.06,0.08,0.0805,0.00,0.00,0.00,46.32,230.32,0.00,0.00,,
525,2026-06-11T22:00:00+00:00,dry_spell,277.06,0.35,0.3694,0.00,0.00,0.00,46.67,230.67,0.00,0.00,,
526,2026-06-11T22:30:00+00:00,dry_spell,277.06,0.37,0.3957,0.00,0.00,0.00,47.04,231.04,0.00,0.00,,
527,2026-06-11T23:00:00+00:00,dry_spell,277.06,0.31,0.3188,0.00,0.00,0.00,47.35,231.35,0.00,0.00,,
528,2026-06-11T23:30:00+00:00,dry_spell,277.06,0.18,0.1904,0.00,0.00,0.00,47.53,231.53,0.00,0.00,,
529,2026-06-12T00:00:00+00:00,wet_multi_day,228.42,2.78,3.0553,913.68,0.00,-913.68,46.31,234.31,4.00,0.00,,
530,2026-06-12T00:30:00+00:00,wet_multi_day,228.42,3.19,3.3535,0.00,913.68,913.68,49.50,233.50,0.00,4.00,,
531,2026-06-12T01:00:00+00:00,wet_multi_day,228.42,2.59,2.8113,913.68,913.68,0.00,48.09,232.09,4.00,4.00,,
532,2026-06-12T01:30:00+00:00,wet_multi_day,228.42,2.96,3.2232,913.68,913.68,0.00,47.05,231.05,4.00,4.00,,
533,2026-06-12T02:00:00+00:00,wet_multi_day,228.42,2.76,2.7780,913.68,0.00,-913.68,45.81,233.81,4.00,0.00,,
534,2026-06-12T02:30:00+00:00,wet_multi_day,228.42,2.61,2.7108,0.00,913.68,913.68,48.42,232.42,0.00,4.00,,
535,2026-06-12T03:00:00+00:00,wet_multi_day,228.42,3.04,3.3034,913.68,913.68,0.00,47.46,231.46,4.00,4.00,,
536,2026-06-12T03:30:00+00:00,wet_multi_day,228.42,2.59,2.6873,0.00,913.68,913.68,50.05,230.05,0.00,4.00,,
537,2026-06-12T04:00:00+00:00,wet_multi_day,257.37,3.13,3.4066,2058.96,0.00,-2058.96,45.18,233.18,8.00,0.00,,
538,2026-06-12T04:30:00+00:00,wet_multi_day,257.37,3.16,3.2665,0.00,1029.48,1029.48,48.34,232.34,0.00,4.00,,
539,2026-06-12T05:00:00+00:00,wet_multi_day,257.37,2.77,2.8596,0.00,1029.48,1029.48,51.11,231.11,0.00,4.00,,
540,2026-06-12T05:30:00+00:00,wet_multi_day,257.37,6.10,6.1382,3088.44,2058.96,-1029.48,45.21,229.21,12.00,8.00,,
541,2026-06-12T06:00:00+00:00,wet_multi_day,257.37,6.48,6.9204,0.00,1029.48,1029.48,51.69,231.69,0.00,4.00,,
542,2026-06-12T06:30:00+00:00,wet_multi_day,257.37,6.18,6.5921,2058.96,2058.96,0.00,49.87,229.87,8.00,8.00,,
543,2026-06-12T07:00:00+00:00,wet_multi_day,257.37,6.37,6.8499,2058.96,2058.96,0.00,48.24,228.24,8.00,8.00,,
544,2026-06-12T07:30:00+00:00,wet_multi_day,257.37,6.55,6.5933,1029.48,2058.96,1029.48,50.79,226.79,4.00,8.00,,
545,2026-06-12T08:00:00+00:00,wet_multi_day,282.66,6.25,6.5572,3391.92,1130.64,-2261.28,45.04,229.04,12.00,4.00,,
546,2026-06-12T08:30:00+00:00,wet_multi_day,282.66,6.16,6.2202,1130.64,1130.64,0.00,47.20,231.20,4.00,4.00,,
547,2026-06-12T09:00:00+00:00,wet_multi_day,282.66,6.08,6.4704,0.00,2261.28,2261.28,53.28,229.28,0.00,8.00,,
548,2026-06-12T09:30:00+00:00,wet_multi_day,282.66,6.43,6.8110,3391.92,2261.28,-1130.64,47.71,227.71,12.00,8.00,,
549,2026-06-12T10:00:00+00:00,wet_multi_day,282.66,6.20,6.5155,0.00,1130.64,1130.64,53.91,229.91,0.00,4.00,,
550,2026-06-12T10:30:00+00:00,wet_multi_day,282.66,4.13,4.4244,0.00,2261.28,2261.28,58.04,226.04,0.00,8.00,,
551,2026-06-12T11:00:00+00:00,wet_multi_day,282.66,3.89,4.0809,0.00,1130.64,1130.64,61.93,225.93,0.00,4.00,,
552,2026-06-12T11:30:00+00:00,wet_multi_day,282.66,4.25,4.4255,2261.28,2261.28,0.00,58.18,222.18,8.00,8.00,,
553,2026-06-12T12:00:00+00:00,wet_multi_day,283.90,4.00,4.2331,2271.20,0.00,-2271.20,54.18,226.18,8.00,0.00,,
554,2026-06-12T12:30:00+00:00,wet_multi_day,283.90,4.39,4.5040,3406.80,0.00,-3406.80,46.57,230.57,12.00,0.00,,
555,2026-06-12T13:00:00+00:00,wet_multi_day,283.90,4.06,4.4125,1135.60,1135.60,0.00,46.63,230.63,4.00,4.00,,
556,2026-06-12T13:30:00+00:00,wet_multi_day,283.90,4.29,4.2932,1135.60,1135.60,0.00,46.92,230.92,4.00,4.00,,
557,2026-06-12T14:00:00+00:00,wet_multi_day,283.90,4.24,4.5907,0.00,1135.60,1135.60,51.16,231.16,0.00,4.00,,
558,2026-06-12T14:30:00+00:00,wet_multi_day,283.90,3.88,4.0238,1135.60,1135.60,0.00,51.04,231.04,4.00,4.00,,
559,2026-06-12T15:00:00+00:00,wet_multi_day,283.90,3.91,3.9779,2271.20,2271.20,0.00,46.95,226.95,8.00,8.00,,
560,2026-06-12T15:30:00+00:00,wet_multi_day,283.90,4.24,4.6184,1135.60,1135.60,0.00,47.19,227.19,4.00,4.00,,
561,2026-06-12T16:00:00+00:00,wet_multi_day,302.47,6.79,7.3753,1209.88,1209.88,0.00,49.98,229.98,4.00,4.00,,
562,2026-06-12T16:30:00+00:00,wet_multi_day,302.47,7.13,7.2985,2419.76,2419.76,0.00,49.11,229.11,8.00,8.00,,
563,2026-06-12T17:00:00+00:00,wet_multi_day,302.47,6.97,7.2210,2419.76,1209.88,-1209.88,48.08,232.08,8.00,4.00,,
564,2026-06-12T17:30:00+00:00,wet_multi_day,302.47,6.54,6.8816,2419.76,2419.76,0.00,46.62,230.62,8.00,8.00,,
565,2026-06-12T18:00:00+00:00,wet_multi_day,302.47,6.51,7.0065,1209.88,2419.76,1209.88,49.13,229.13,4.00,8.00,,
566,2026-06-12T18:30:00+00:00,wet_multi_day,302.47,6.59,6.7578,2419.76,2419.76,0.00,47.72,227.72,8.00,8.00,,
567,2026-06-12T19:00:00+00:00,wet_multi_day,302.47,7.03,7.2737,2419.76,1209.88,-1209.88,46.75,230.75,8.00,4.00,,
568,2026-06-12T19:30:00+00:00,wet_multi_day,302.47,6.75,7.3736,2419.76,2419.76,0.00,45.50,229.50,8.00,8.00,,
569,2026-06-12T20:00:00+00:00,wet_multi_day,277.06,6.52,7.1714,1108.24,2216.48,1108.24,48.02,228.02,4.00,8.00,,
570,2026-06-12T20:30:00+00:00,wet_multi_day,277.06,6.80,7.3935,1108.24,2216.48,1108.24,50.82,226.82,4.00,8.00,,
571,2026-06-12T21:00:00+00:00,wet_multi_day,277.06,7.15,7.1967,2216.48,2216.48,0.00,49.97,225.97,8.00,8.00,,
572,2026-06-12T21:30:00+00:00,wet_multi_day,277.06,3.04,3.0496,2216.48,0.00,-2216.48,45.01,229.01,8.00,0.00,,
573,2026-06-12T22:00:00+00:00,wet_multi_day,277.06,3.36,3.6482,0.00,1108.24,1108.24,48.37,228.37,0.00,4.00,,
574,2026-06-12T22:30:00+00:00,wet_multi_day,277.06,2.87,3.0628,1108.24,1108.24,0.00,47.24,227.24,4.00,4.00,,
575,2026-06-12T23:00:00+00:00,wet_multi_day,277.06,2.87,2.9107,0.00,1108.24,1108.24,50.11,226.11,0.00,4.00,,
576,2026-06-12T23:30:00+00:00,wet_multi_day,277.06,3.05,3.2740,2216.48,1108.24,-1108.24,45.16,225.16,8.00,4.00,,
577,2026-06-13T00:00:00+00:00,wet_multi_day,228.42,2.89,2.9256,0.00,0.00,0.00,48.05,228.05,0.00,0.00,,
578,2026-06-13T00:30:00+00:00,wet_multi_day,228.42,2.66,2.8714,913.68,0.00,-913.68,46.71,230.71,4.00,0.00,,
579,2026-06-13T01:00:00+00:00,wet_multi_day,228.42,3.06,3.2818,913.68,0.00,-913.68,45.77,233.77,4.00,0.00,,
580,2026-06-13T01:30:00+00:00,wet_multi_day,228.42,2.89,3.0629,0.00,913.68,913.68,48.66,232.66,0.00,4.00,,
581,2026-06-13T02:00:00+00:00,wet_multi_day,228.42,2.63,2.6403,913.68,913.68,0.00,47.29,231.29,4.00,4.00,,
582,2026-06-13T02:30:00+00:00,wet_multi_day,228.42,2.86,2.9502,913.68,0.00,-913.68,46.15,234.15,4.00,0.00,,
583,2026-06-13T03:00:00+00:00,wet_multi_day,228.42,2.62,2.7837,0.00,913.68,913.68,48.77,232.77,0.00,4.00,,
584,2026-06-13T03:30:00+00:00,wet_multi_day,228.42,3.16,3.1605,913.68,913.68,0.00,47.93,231.93,4.00,4.00,,
585,2026-06-13T04:00:00+00:00,wet_multi_day,257.37,3.20,3.4456,1029.48,1029.48,0.00,47.13,231.13,4.00,4.00,,
586,2026-06-13T04:30:00+00:00,wet_multi_day,257.37,2.76,2.8885,1029.48,1029.48,0.00,45.89,229.89,4.00,4.00,,
587,2026-06-13T05:00:00+00:00,wet_multi_day,257.37,2.88,2.9763,0.00,1029.48,1029.48,48.77,228.77,0.00,4.00,,
588,2026-06-13T05:30:00+00:00,wet_multi_day,257.37,6.61,7.1049,2058.96,1029.48,-1029.48,47.38,231.38,8.00,4.00,,
589,2026-06-13T06:00:00+00:00,wet_multi_day,257.37,6.26,6.2928,2058.96,2058.96,0.00,45.64,229.64,8.00,8.00,,
590,2026-06-13T06:30:00+00:00,wet_multi_day,257.37,6.42,6.7971,1029.48,1029.48,0.00,48.06,232.06,4.00,4.00,,
591,2026-06-13T07:00:00+00:00,wet_multi_day,257.37,6.25,6.6796,2058.96,2058.96,0.00,46.31,230.31,8.00,8.00,,
592,2026-06-13T07:30:00+00:00,wet_multi_day,257.37,6.45,7.0316,0.00,2058.96,2058.96,52.76,228.76,0.00,8.00,,
593,2026-06-13T08:00:00+00:00,wet_multi_day,282.66,6.53,7.1057,3391.92,2261.28,-1130.64,47.29,227.29,12.00,8.00,,
594,2026-06-13T08:30:00+00:00,wet_multi_day,282.66,6.57,7.1364,1130.64,1130.64,0.00,49.86,229.86,4.00,4.00,,
595,2026-06-13T09:00:00+00:00,wet_multi_day,282.66,6.39,6.6101,0.00,2261.28,2261.28,56.25,228.25,0.00,8.00,,
596,2026-06-13T09:30:00+00:00,wet_multi_day,282.66,6.26,6.4503,3391.92,2261.28,-1130.64,50.51,226.51,12.00,8.00,,
